id,class,# org.tmethod,% mut.score,# new.tmethod,PR.candidates,# killed.origial,# killed.amplified,% inc.killed,# killed.aamp,% inc.killed.aamp,time,project,High/Low
95,ZnStatusLineTest3,7,28.57,1,?,16,17,6.00,16,0.00,0:00:43,zinc,L
96,ZnStatusLineTest4,7,28.57,1,?,16,17,6.00,16,0.00,0:00:44,zinc,L
97,GQLArgumentsTest2,16,47.06,0,?,8,8,0.00,8,0.00,0:31:10,GraphQL,L
98,GQLArgumentsTest3,16,47.06,0,?,8,8,0.00,8,0.00,0:30:56,GraphQL,L
99,GQLArgumentsTest4,16,47.06,0,?,8,8,0.00,8,0.00,0:32:28,GraphQL,L
100,PP2ParsingGuardTest2,3,47.06,1,?,8,10,25.00,9,12.50,0:00:08,petitparser2,L
101,PP2ParsingGuardTest3,3,47.06,1,?,8,10,25.00,9,12.50,0:00:07,petitparser2,L
102,PP2ParsingGuardTest4,3,47.06,1,?,8,10,25.00,9,12.50,0:00:07,petitparser2,L
103,PP2BenchmarkTest2,3,15.91,1,?,7,13,86.00,8,14.29,0:09:15,petitparser2,L
104,PP2BenchmarkTest3,3,15.91,1,?,7,13,86.00,8,14.29,0:08:48,petitparser2,L
105,PP2BenchmarkTest4,3,15.91,1,?,7,13,86.00,8,14.29,0:08:31,petitparser2,L
106,MDLDialogTest2,4,14.29,0,?,1,1,0.00,1,0.00,0:00:00,MaterialDesignLite,L
107,MDLDialogTest3,4,14.29,0,?,1,1,0.00,1,0.00,0:00:00,MaterialDesignLite,L
108,MDLDialogTest4,4,14.29,0,?,1,1,0.00,1,0.00,0:00:00,MaterialDesignLite,L
109,MDLNestedListTest2,11,41.04,1,?,55,63,15.00,56,1.82,0:00:14,MaterialDesignLite,L
110,MDLNestedListTest3,11,41.04,1,?,55,63,15.00,56,1.82,0:00:15,MaterialDesignLite,L
111,MDLNestedListTest4,11,41.04,1,?,55,63,15.00,56,1.82,0:00:15,MaterialDesignLite,L
112,RSAthensRendererTest2,1,9.88,1,?,48,49,2.00,49,2.08,0:01:08,Roassal3,L
113,RSAthensRendererTest3,1,9.88,1,?,48,49,2.00,49,2.08,0:01:10,Roassal3,L
114,RSAthensRendererTest4,1,9.88,1,?,48,49,2.00,49,2.08,0:01:15,Roassal3,L
115,RSDraggableCanvasTest2,6,35.71,0,?,10,10,0.00,10,0.00,0:00:34,Roassal3,L
116,RSDraggableCanvasTest3,6,35.71,0,?,10,10,0.00,10,0.00,0:00:35,Roassal3,L
117,RSDraggableCanvasTest4,6,35.71,0,?,10,10,0.00,10,0.00,0:00:36,Roassal3,L
118,OPNavigatorAdaptersTest2,3,24.00,0,?,6,6,0.00,6,0.00,0:00:26,openponk,L
119,OPNavigatorAdaptersTest3,3,24.00,0,?,6,6,0.00,6,0.00,0:00:24,openponk,L
120,OPNavigatorAdaptersTest4,3,24.00,0,?,6,6,0.00,6,0.00,0:00:23,openponk,L
121,OPProjectTest2,2,28.00,0,?,7,7,0.00,7,0.00,0:00:03,openponk,L
122,OPProjectTest3,2,28.00,0,?,7,7,0.00,7,0.00,0:00:03,openponk,L
123,OPProjectTest4,2,28.00,0,?,7,7,0.00,7,0.00,0:00:03,openponk,L
124,PMExponentialDistributionTest2,1,17.07,3,?,7,10,43.00,7,0.00,0:00:23,PolyMath,L
125,PMExponentialDistributionTest3,1,17.07,2,?,7,9,29.00,7,0.00,0:00:15,PolyMath,L
126,PMExponentialDistributionTest4,1,17.07,3,?,7,10,43.00,7,0.00,0:00:11,PolyMath,L
127,PMFixpointTest2,6,39.47,5,?,30,42,40.00,35,16.67,0:03:01,PolyMath,L
128,PMFixpointTest3,6,39.47,4,?,30,39,30.00,33,10.00,0:03:03,PolyMath,L
129,PMFixpointTest4,6,39.47,5,?,30,42,40.00,34,13.33,0:04:35,PolyMath,L
130,TLDistributionMapTest2,1,37.04,3,?,10,14,40.00,15,50.00,0:00:26,Telescope,L
131,TLDistributionMapTest3,1,37.04,3,?,10,14,40.00,15,50.00,0:00:26,Telescope,L
132,TLDistributionMapTest4,1,37.04,2,?,10,13,30.00,13,30.00,0:00:28,Telescope,L
133,TLLegendTest2,2,0.00,0,?,0,0,-,0,-,0:00:02,Telescope,L
134,TLLegendTest3,2,0.00,0,?,0,0,-,0,-,0:00:02,Telescope,L
135,TLLegendTest4,2,0.00,0,?,0,0,-,0,-,0:00:02,Telescope,L
136,DSSendUserTextMessageItemTest2,5,33.33,2,?,4,7,75.00,7,75.00,0:00:34,DiscordSt,L
137,DSSendUserTextMessageItemTest3,5,33.33,2,?,4,7,75.00,7,75.00,0:00:36,DiscordSt,L
138,DSSendUserTextMessageItemTest4,5,33.33,2,?,4,7,75.00,7,75.00,0:00:34,DiscordSt,L
139,DSEmbedTest2,11,19.67,7,?,12,32,167.00,15,25.00,0:01:58,DiscordSt,L
140,DSEmbedTest3,11,19.67,7,?,12,32,167.00,17,41.67,0:02:02,DiscordSt,L
141,DSEmbedTest4,11,19.67,8,?,12,32,167.00,23,91.67,0:02:16,DiscordSt,L
142,PhLLocalTemplateTest2,11,12.00,1,?,3,5,67.00,4,33.33,0:00:33,pharo-launcher,L
143,PhLLocalTemplateTest3,11,12.00,1,?,3,5,67.00,4,33.33,0:00:32,pharo-launcher,L
144,PhLLocalTemplateTest4,11,12.00,1,?,3,5,67.00,4,33.33,0:00:33,pharo-launcher,L
145,PhLDirectoryBasedImageRepositoryTest2,14,39.80,1,?,39,42,8.00,40,2.56,0:01:21,pharo-launcher,L
146,PhLDirectoryBasedImageRepositoryTest3,14,39.80,1,?,39,42,8.00,40,2.56,0:01:17,pharo-launcher,L
147,PhLDirectoryBasedImageRepositoryTest4,14,39.80,1,?,39,42,8.00,40,2.56,0:01:19,pharo-launcher,L
148,WAKeyGeneratorTest2,1,33.33,0,?,1,1,0.00,1,0.00,0:00:12,Seaside,L
149,WAKeyGeneratorTest3,1,33.33,0,?,1,1,0.00,1,0.00,0:00:09,Seaside,L
150,WAKeyGeneratorTest4,1,33.33,0,?,1,1,0.00,1,0.00,0:00:09,Seaside,L
151,WAXmlCanvasTest2,1,33.33,0,?,1,1,0.00,1,0.00,0:00:00,Seaside,L
152,WAXmlCanvasTest3,1,33.33,0,?,1,1,0.00,1,0.00,0:00:00,Seaside,L
153,WAXmlCanvasTest4,1,33.33,0,?,1,1,0.00,1,0.00,0:00:01,Seaside,L
154,WAErrorHandlerTest2,11,38.46,0,?,5,5,0.00,5,0.00,0:01:15,Seaside,L
155,WAErrorHandlerTest3,11,38.46,0,?,5,5,0.00,5,0.00,0:01:13,Seaside,L
156,WAErrorHandlerTest4,11,38.46,0,?,5,5,0.00,5,0.00,0:01:17,Seaside,L
